using device: cuda
Model parameters: 135.18M
loaded 338025 tokens
1 epoch = 165 batches
Starting training...
step 1320 | loss: 4.2900 | dt: 2656.27ms | tok/sec: 771.01
step 1330 | loss: 3.8012 | dt: 2660.07ms | tok/sec: 769.91
step 1340 | loss: 4.1523 | dt: 2642.03ms | tok/sec: 775.16
step 1350 | loss: 3.9300 | dt: 2683.45ms | tok/sec: 763.20
step 1360 | loss: 4.1542 | dt: 2639.64ms | tok/sec: 775.86
step 1370 | loss: 4.0666 | dt: 2660.70ms | tok/sec: 769.72
step 1380 | loss: 3.8962 | dt: 2655.70ms | tok/sec: 771.17
step 1390 | loss: 3.7736 | dt: 2637.29ms | tok/sec: 776.55
step 1400 | loss: 3.7997 | dt: 2647.38ms | tok/sec: 773.59
step 1410 | loss: 3.7525 | dt: 2629.39ms | tok/sec: 778.89
step 1420 | loss: 3.6936 | dt: 2688.40ms | tok/sec: 761.79
step 1430 | loss: 4.1674 | dt: 2638.92ms | tok/sec: 776.07
step 1440 | loss: 4.1046 | dt: 2648.60ms | tok/sec: 773.24
step 1450 | loss: 3.8131 | dt: 2636.89ms | tok/sec: 776.67
step 1460 | loss: 3.4866 | dt: 2659.35ms | tok/sec: 770.11
step 1470 | loss: 3.7860 | dt: 2638.77ms | tok/sec: 776.12
step 1480 | loss: 4.1924 | dt: 2632.46ms | tok/sec: 777.98
step 1490 | loss: 4.0126 | dt: 2635.47ms | tok/sec: 777.09
step 1500 | loss: 3.4828 | dt: 2633.86ms | tok/sec: 777.57

--- Generating text at step 1500 ---
! we rid,
my thing was so done.

GLUUS:
F mercy in mocked itUS;
But rest at Rome,iances for him: but
Masters are worse, proud to the people,
And for your
-----------------------------------

step 1510 | loss: 3.6085 | dt: 2699.83ms | tok/sec: 758.57
step 1520 | loss: 3.5473 | dt: 2703.50ms | tok/sec: 757.54
step 1530 | loss: 3.8369 | dt: 2704.69ms | tok/sec: 757.20
step 1540 | loss: 4.0431 | dt: 2699.75ms | tok/sec: 758.59
step 1550 | loss: 3.8126 | dt: 2697.98ms | tok/sec: 759.09
step 1560 | loss: 4.0581 | dt: 2708.62ms | tok/sec: 756.10
step 1570 | loss: 3.4292 | dt: 2701.01ms | tok/sec: 758.23
step 1580 | loss: 3.8859 | dt: 2701.13ms | tok/sec: 758.20
step 1590 | loss: 4.0481 | dt: 2708.01ms | tok/sec: 756.27
step 1600 | loss: 4.1384 | dt: 2723.99ms | tok/sec: 751.84
step 1610 | loss: 3.9161 | dt: 2718.54ms | tok/sec: 753.35
step 1620 | loss: 3.3759 | dt: 2728.75ms | tok/sec: 750.53
step 1630 | loss: 3.6518 | dt: 2700.32ms | tok/sec: 758.43
step 1640 | loss: 3.3208 | dt: 2696.71ms | tok/sec: 759.44
step 1650 | loss: 3.9156 | dt: 2707.93ms | tok/sec: 756.30
step 1660 | loss: 3.5364 | dt: 2725.21ms | tok/sec: 751.50
step 1670 | loss: 3.8675 | dt: 2708.14ms | tok/sec: 756.24
step 1680 | loss: 3.6225 | dt: 2702.13ms | tok/sec: 757.92
step 1690 | loss: 3.8710 | dt: 2694.93ms | tok/sec: 759.95
step 1700 | loss: 3.7588 | dt: 2696.90ms | tok/sec: 759.39
step 1710 | loss: 3.6354 | dt: 2727.15ms | tok/sec: 750.97
step 1720 | loss: 3.5004 | dt: 2710.80ms | tok/sec: 755.50
step 1730 | loss: 3.5569 | dt: 2736.50ms | tok/sec: 748.40
step 1740 | loss: 3.4937 | dt: 2700.68ms | tok/sec: 758.33
step 1750 | loss: 3.4585 | dt: 2704.23ms | tok/sec: 757.33
step 1760 | loss: 3.8912 | dt: 2718.99ms | tok/sec: 753.22
step 1770 | loss: 3.9121 | dt: 2759.54ms | tok/sec: 742.15
step 1780 | loss: 3.5978 | dt: 2701.65ms | tok/sec: 758.06
step 1790 | loss: 3.2438 | dt: 2705.15ms | tok/sec: 757.08
step 1800 | loss: 3.4297 | dt: 2697.91ms | tok/sec: 759.11
step 1810 | loss: 3.8631 | dt: 2723.87ms | tok/sec: 751.87
step 1820 | loss: 3.7029 | dt: 2717.25ms | tok/sec: 753.70
step 1830 | loss: 3.2425 | dt: 2727.89ms | tok/sec: 750.76
step 1840 | loss: 3.3572 | dt: 2722.87ms | tok/sec: 752.15
step 1850 | loss: 3.2716 | dt: 2707.57ms | tok/sec: 756.40
step 1860 | loss: 3.5134 | dt: 2699.27ms | tok/sec: 758.73
step 1870 | loss: 3.7097 | dt: 2723.70ms | tok/sec: 751.92
step 1880 | loss: 3.5368 | dt: 2721.65ms | tok/sec: 752.48
step 1890 | loss: 3.7578 | dt: 2698.47ms | tok/sec: 758.95
step 1900 | loss: 3.2360 | dt: 2703.24ms | tok/sec: 757.61
step 1910 | loss: 3.5294 | dt: 2695.89ms | tok/sec: 759.68
step 1920 | loss: 3.7359 | dt: 2723.54ms | tok/sec: 751.96
step 1930 | loss: 3.8138 | dt: 2696.43ms | tok/sec: 759.52
step 1940 | loss: 3.6550 | dt: 2704.04ms | tok/sec: 757.38
step 1950 | loss: 3.0794 | dt: 2704.37ms | tok/sec: 757.29
step 1960 | loss: 3.3290 | dt: 2702.23ms | tok/sec: 757.89
step 1970 | loss: 3.0204 | dt: 2734.40ms | tok/sec: 748.98
step 1980 | loss: 3.5516 | dt: 2703.91ms | tok/sec: 757.42
step 1990 | loss: 3.3070 | dt: 2706.01ms | tok/sec: 756.83
step 2000 | loss: 3.5758 | dt: 2726.00ms | tok/sec: 751.28

--- Generating text at step 2000 ---
!,
if I put thee due by! see I do not weep
Thy thing in this heels hits them,
That neverYour valour should be in pride,
Call him more deity tears;Signiorio
In time of tears
-----------------------------------

step 2010 | loss: 3.3916 | dt: 2700.63ms | tok/sec: 758.34
step 2020 | loss: 3.5364 | dt: 2709.72ms | tok/sec: 755.80
step 2030 | loss: 3.4518 | dt: 2708.71ms | tok/sec: 756.08
step 2040 | loss: 3.2968 | dt: 2699.77ms | tok/sec: 758.58
step 2050 | loss: 3.1897 | dt: 2705.14ms | tok/sec: 757.08
step 2060 | loss: 3.2544 | dt: 2695.59ms | tok/sec: 759.76
step 2070 | loss: 3.1843 | dt: 2699.45ms | tok/sec: 758.67
step 2080 | loss: 3.1527 | dt: 2697.34ms | tok/sec: 759.27
step 2090 | loss: 3.5361 | dt: 2698.70ms | tok/sec: 758.88
step 2100 | loss: 3.6072 | dt: 2698.23ms | tok/sec: 759.02
step 2110 | loss: 3.2871 | dt: 2697.04ms | tok/sec: 759.35
step 2120 | loss: 2.9393 | dt: 2715.87ms | tok/sec: 754.09
step 2130 | loss: 3.0962 | dt: 2706.66ms | tok/sec: 756.65
step 2140 | loss: 3.4452 | dt: 2705.67ms | tok/sec: 756.93
step 2150 | loss: 3.2900 | dt: 2707.68ms | tok/sec: 756.37
step 2160 | loss: 2.9626 | dt: 2707.08ms | tok/sec: 756.54
step 2170 | loss: 3.0681 | dt: 2702.33ms | tok/sec: 757.86
step 2180 | loss: 2.9747 | dt: 2702.98ms | tok/sec: 757.68
step 2190 | loss: 3.1063 | dt: 2716.67ms | tok/sec: 753.87
step 2200 | loss: 3.3207 | dt: 2703.48ms | tok/sec: 757.54
step 2210 | loss: 3.1918 | dt: 2701.67ms | tok/sec: 758.05
